AuthorityName,authority_id,sector,render_full,wdtk_id_1,wdtk_id_2,wdtk_id_3,wdtk_id_4,wdtk_id_5,wdtk_id_6,wdtk_id_7,wdtk_id_8,wdtk_id_9,wdtk_id_10,wdtk_id_11
Clydebank Housing Association Ltd,449,s.5 designated body,0,54845,,,,,,,,,,
Clydesdale Housing Association Ltd,450,s.5 designated body,0,54846,,,,,,,,,,
Copperworks Housing Association Ltd,451,s.5 designated body,0,,,,,,,,,,,
Cordale Housing Association Ltd,452,s.5 designated body,0,54848,,,,,,,,,,
Craigdale Housing Association Ltd,453,s.5 designated body,0,54849,,,,,,,,,,
Crandeen Ltd,454,s.5 designated body,0,,,,,,,,,,,
Cube Housing Association Ltd,455,s.5 designated body,0,,,,,,,,,,,
Cunninghame Furniture Recycling Company,456,s.5 designated body,0,,,,,,,,,,,
Cunninghame Housing Association Ltd,457,s.5 designated body,0,54852,,,,,,,,,,
Dalmuir Park Housing Association Ltd,458,s.5 designated body,0,54853,,,,,,,,,,
Drumchapel Housing Co-operative Ltd,459,s.5 designated body,0,54854,,,,,,,,,,
Dumfries and Galloway Housing Partnership,460,s.5 designated body,0,54855,,,,,,,,,,
Dunbritton Housing Association Limited,461,s.5 designated body,0,,,,,,,,,,,
Dunedin Canmore Housing Limited,462,s.5 designated body,0,54857,,,,,,,,,,
East Kilbride and District Housing Association Ltd,463,s.5 designated body,0,54858,,,,,,,,,,
East Lothian Housing Association Ltd,464,s.5 designated body,0,54859,,,,,,,,,,
Easthall Park Housing Cooperative Ltd,465,s.5 designated body,0,54860,,,,,,,,,,
Eildon Housing Association Ltd,466,s.5 designated body,0,54861,,,,,,,,,,
Elderpark Housing Association Ltd,467,s.5 designated body,0,54862,,,,,,,,,,
Faifley Housing Association Ltd,468,s.5 designated body,0,54863,,,,,,,,,,
Fairfield Housing Co-operative Ltd,469,s.5 designated body,0,54864,,,,,,,,,,
Ferguslie Park Housing Association Ltd,470,s.5 designated body,0,,,,,,,,,,,
Fife Housing Association Ltd,471,s.5 designated body,0,54865,,,,,,,,,,
Forth Housing Association Ltd,473,s.5 designated body,0,54867,,,,,,,,,,
Fyne Homes,474,s.5 designated body,0,54868,,,,,,,,,,
Gardeen Housing Association Ltd,475,s.5 designated body,0,54869,,,,,,,,,,
Garrion Peoples Housing Cooperative Ltd,476,s.5 designated body,0,54870,,,,,,,,,,
Glasgow West Housing Association Ltd,477,s.5 designated body,0,54871,,,,,,,,,,
Glen Housing Association Ltd,478,s.5 designated body,0,54872,,,,,,,,,,
Glen Oaks Housing Association Ltd,479,s.5 designated body,0,54873,,,,,,,,,,
Govan Housing Association Ltd,480,s.5 designated body,0,54874,,,,,,,,,,
Govanhill Community Development Trust,481,s.5 designated body,0,,,,,,,,,,,
Govanhill Housing Association Ltd,482,s.5 designated body,0,54875,,,,,,,,,,
Grampian Housing Association Ltd,483,s.5 designated body,0,54876,,,,,,,,,,
Hanover (Scotland) Housing Association Ltd,484,s.5 designated body,0,,,,,,,,,,,
Hawthorn Housing Co-operative Ltd,485,s.5 designated body,0,,,,,,,,,,,
Hebridean Housing Partnership Ltd,486,s.5 designated body,0,,,,,,,,,,,
Highland Residential (Inverness) Ltd,487,s.5 designated body,0,,,,,,,,,,,
Hillcrest Homes Ltd,488,s.5 designated body,0,,,,,,,,,,,
Hillhead Housing Association 2000,489,s.5 designated body,0,,,,,,,,,,,
Hjaltland Housing Association Ltd,490,s.5 designated body,0,,,,,,,,,,,
Hjaltland Trading Ltd,491,s.5 designated body,0,,,,,,,,,,,
Home Fix Scotland Ltd,492,s.5 designated body,0,,,,,,,,,,,
Home in Scotland Ltd,493,s.5 designated body,0,,,,,,,,,,,
Homes for Life Housing Partnership,494,s.5 designated body,0,,,,,,,,,,,
Horizon Housing Association Ltd,495,s.5 designated body,0,,,,,,,,,,,
Hunters Hall Housing Co-operative Ltd,496,s.5 designated body,0,,,,,,,,,,,
Irvine Housing Association Ltd,497,s.5 designated body,0,,,,,,,,,,,
Kendoon Housing Association Ltd,498,s.5 designated body,0,,,,,,,,,,,
Key Housing Association Ltd,499,s.5 designated body,0,,,,,,,,,,,
Kingdom Housing Association Ltd,500,s.5 designated body,0,55960,,,,,,,,,,
Kingdom Support and Care CIC,501,s.5 designated body,0,,,,,,,,,,,
Kingsridge Cleddans Housing Association Ltd,502,s.5 designated body,0,,,,,,,,,,,
Kirkgate Developments Ltd,503,s.5 designated body,0,,,,,,,,,,,
Knowes Housing Association Ltd,504,s.5 designated body,0,,,,,,,,,,,
Lanarkshire Housing Association Ltd,505,s.5 designated body,0,,,,,,,,,,,
Langstane Housing Association Ltd,506,s.5 designated body,0,,,,,,,,,,,
Larkfield Housing Association Ltd,507,s.5 designated body,0,,,,,,,,,,,
Levern Property Services,508,s.5 designated body,0,,,,,,,,,,,
Lochaber Housing Association Property Services C.I.C.,509,s.5 designated body,0,,,,,,,,,,,
Link Housing Association Limited,510,s.5 designated body,0,,,,,,,,,,,
Link Housing Group,511,s.5 designated body,0,,,,,,,,,,,
Link Property Limited,512,s.5 designated body,0,,,,,,,,,,,
Linstone Housing Association Ltd,513,s.5 designated body,0,,,,,,,,,,,
Linthouse Housing Association Ltd,514,s.5 designated body,0,,,,,,,,,,,
Lister Housing Co-operative Ltd,515,s.5 designated body,0,,,,,,,,,,,
Lochaber Care and Repair,516,s.5 designated body,0,,,,,,,,,,,
Lochaber Housing Association Limited,517,s.5 designated body,0,,,,,,,,,,,
Lochfield Park Housing Association Ltd,518,s.5 designated body,0,,,,,,,,,,,
Loreburn Housing Association Ltd,519,s.5 designated body,0,,,,,,,,,,,
Loretto Housing Association Ltd,520,s.5 designated body,0,,,,,,,,,,,
Manor Estates Housing Association Ltd,521,s.5 designated body,0,,,,,,,,,,,
Maryhill Communities Ltd,522,s.5 designated body,0,,,,,,,,,,,
Maryhill Housing Association Ltd,523,s.5 designated body,0,,,,,,,,,,,
Melville Housing Association Ltd,524,s.5 designated body,0,,,,,,,,,,,
Milnbank Community Enterprise,525,s.5 designated body,0,,,,,,,,,,,
Milnbank Housing Association Ltd,526,s.5 designated body,0,57613,,,,,,,,,,
Molendinar Park Housing Association,527,s.5 designated body,0,,,,,,,,,,,
Muirhouse Housing Association Ltd,528,s.5 designated body,0,,,,,,,,,,,
New Gorbals Housing Association Ltd,529,s.5 designated body,0,,,,,,,,,,,
Ng2 Ltd,530,s.5 designated body,0,,,,,,,,,,,
North Glasgow Housing Association Ltd,531,s.5 designated body,0,,,,,,,,,,,
North View Housing Association Ltd,532,s.5 designated body,0,,,,,,,,,,,
North West Highland Community Enterprises Ltd,533,s.5 designated body,0,,,,,,,,,,,
Oak Tree Housing Association Ltd,534,s.5 designated body,0,,,,,,,,,,,
Oak Tree Housing Initiatives,535,s.5 designated body,0,,,,,,,,,,,
Ochil View Housing Association Ltd,536,s.5 designated body,0,,,,,,,,,,,
Ore Valley Enterprise Ltd,537,s.5 designated body,0,,,,,,,,,,,
Ore Valley Housing Association Ltd,538,s.5 designated body,0,,,,,,,,,,,
Orkney Housing Association Ltd,539,s.5 designated body,0,,,,,,,,,,,
Osprey Housing Ltd,540,s.5 designated body,0,,,,,,,,,,,
Osprey Housing Moray,541,s.5 designated body,0,,,,,,,,,,,
PACT Enterprises Ltd,542,s.5 designated body,0,,,,,,,,,,,
Paisley Housing Association Ltd,543,s.5 designated body,0,,,,,,,,,,,
Paragon Housing Association Ltd,544,s.5 designated body,0,,,,,,,,,,,
Parkhead Housing Association Ltd,545,s.5 designated body,0,,,,,,,,,,,
Partick Housing Association Ltd,546,s.5 designated body,0,,,,,,,,,,,
Pentland Housing Association Ltd,547,s.5 designated body,0,,,,,,,,,,,
Pineview Housing Association Ltd,548,s.5 designated body,0,,,,,,,,,,,
Places for People Scotland,549,s.5 designated body,0,,,,,,,,,,,
Port of Leith Housing Association Ltd,550,s.5 designated body,0,,,,,,,,,,,
Prospect Community Housing,551,s.5 designated body,0,,,,,,,,,,,
Provanhall Housing Association Ltd,552,s.5 designated body,0,,,,,,,,,,,
Queens Cross Housing Association Ltd,553,s.5 designated body,0,,,,,,,,,,,
Reidvale Housing Association,554,s.5 designated body,0,,,,,,,,,,,
River Clyde Homes,555,s.5 designated body,0,92356,,,,,,,,,,
Rosehill Housing Co-operative Limited,556,s.5 designated body,0,,,,,,,,,,,
Ruchazie Housing Association Ltd,557,s.5 designated body,0,,,,,,,,,,,
Rural Stirling Housing Association Ltd,558,s.5 designated body,0,,,,,,,,,,,
Rutherglen and Cambuslang Housing Association Ltd,559,s.5 designated body,0,,,,,,,,,,,
Sanctuary Scotland Housing Association Ltd,560,s.5 designated body,0,,,,,,,,,,,
Scottish Borders Housing Association Ltd,561,s.5 designated body,0,,,,,,,,,,,
Scottish Veterans Residences,562,s.5 designated body,0,,,,,,,,,,,
Shettleston Housing Association Ltd,563,s.5 designated body,0,,,,,,,,,,,
Shire Housing Association Ltd,564,s.5 designated body,0,,,,,,,,,,,
Spire View Housing Association Ltd,565,s.5 designated body,0,,,,,,,,,,,
Strathclyde (Camphill) Housing Society Ltd,566,s.5 designated body,0,,,,,,,,,,,
The Glasgow Housing Association Ltd,567,s.5 designated body,0,,,,,,,,,,,
The Govan HOME Team CIC,568,s.5 designated body,0,,,,,,,,,,,
Southside Housing Association,569,s.5 designated body,0,,,,,,,,,,,
The Wheatley Foundation Ltd,570,s.5 designated body,0,,,,,,,,,,,
Thenue Housing Association Ltd,571,s.5 designated body,0,,,,,,,,,,,
Thistle Housing Association Ltd,572,s.5 designated body,0,,,,,,,,,,,
TLC Housing Maintenance,573,s.5 designated body,0,,,,,,,,,,,
Tollcross Housing Association Ltd,574,s.5 designated body,0,,,,,,,,,,,
Trafalgar Housing Association Ltd,576,s.5 designated body,0,,,,,,,,,,,
Trust Housing Association Ltd,577,s.5 designated body,0,,,,,,,,,,,
Upkeep Shettleston Community Enterprises Ltd,578,s.5 designated body,0,,,,,,,,,,,
Viewpoint Housing Association Ltd,579,s.5 designated body,0,,,,,,,,,,,
Waverley Housing,580,s.5 designated body,0,,,,,,,,,,,
Wellhouse Housing Association Ltd,581,s.5 designated body,0,57562,,,,,,,,,,
Weslo Housing Management,582,s.5 designated body,0,,,,,,,,,,,
West Granton Housing Co-operative Ltd,583,s.5 designated body,0,,,,,,,,,,,
West Highland Housing Association Ltd,584,s.5 designated body,0,,,,,,,,,,,
West Lothian Housing Partnership Ltd,585,s.5 designated body,0,,,,,,,,,,,
West of Scotland Housing Association Ltd,586,s.5 designated body,0,,,,,,,,,,,
West Whitlawburn Housing Co-operative Ltd,587,s.5 designated body,0,,,,,,,,,,,
Wheatley Housing Group,588,s.5 designated body,0,,,,,,,,,,,
Wheatley Solutions Ltd,589,s.5 designated body,0,,,,,,,,,,,
Whiteinch and Scotstoun Housing Association Ltd,590,s.5 designated body,0,,,,,,,,,,,
Williamsburgh Housing Association Ltd,591,s.5 designated body,0,,,,,,,,,,,
Willowacre Trust,592,s.5 designated body,0,,,,,,,,,,,
WS Estate Services Ltd,593,s.5 designated body,0,,,,,,,,,,,
WS Property Management Ltd,594,s.5 designated body,0,,,,,,,,,,,
Yoker Housing Association Ltd,595,s.5 designated body,0,,,,,,,,,,,
Yorkhill Housing Association Ltd,596,s.5 designated body,0,,,,,,,,,,,
Almond Enterprises Ltd,597,s.5 designated body,0,,,,,,,,,,,
Local Government,900,,1,,,,,,,,,,,
Others e.g. NDPBs,901,,1,,,,,,,,,,,
National Health Service,902,,1,,,,,,,,,,,
Educational Institutions,903,,1,,,,,,,,,,,
Non Ministerial Officeholders,904,,1,,,,,,,,,,,
Ministers/Parliament,905,,1,,,,,,,,,,,
Police,906,,1,,,,,,,,,,,
s.5 designated body,907,,1,,,,,,,,,,,
East Dunbartonshire Leisure and Culture Trust,284,s.5 designated body,0,,,,,,,,,,,
Crown Estate Scotland,401,Others e.g. NDPBs,0,,,,,,,,,,,
Lochaber Property Services C.I.C.,509,s.5 designated body,0,,,,,,,,,,,
